hiddenLN : [1, 2, 4, 8]
hiddenNN : [8, 16, 32, 64]
epochN : [200, 400]
minibatchSize : [16, 32]
eta : [[1, 1.0], [1, 1.0], [10, 1.0], [10, 1.0], [None, 1.0], [None, 1.0], [1, 10.0], [1, 0.1], [10, 10.0], [10, 0.1], [None, 10.0], [None, 0.1], [1, 100.0], [1, 0.01], [10, 100.0], [10, 0.01], [None, 100.0], [None, 0.01], [1, 1000.0], [1, 0.001], [10, 1000.0], [10, 0.001], [None, 1000.0], [None, 0.001]]
lmbd : [0.1   0.001]
alpha : [0.1  0.01]
activationFunction : [<function sigmoid at 0x00000205B6F8B5E8>, <function ReLU_leaky at 0x00000205B86691F8>]
outputFunction : [<function linearActivation at 0x00000205B8669288>]
#repetitions : 1
datafraction : 0.1
-0.0014200881330272974---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.46891120853895907---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.005944792110913477---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-2.383398923983986e+37---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.0024973855506156273---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.07196087109699079---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-2.5347929266057303e+42---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-1.564285492161588e-05---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.00023012724866311451---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-2.7428572021558145e+38---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.0048471568755552585---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.0005907683038479661---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.08943758193573315---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.7748597802717538---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.0021591320810330217---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.6471865983751215---epochN:200, minibatchSize:16, eta:[None, 1.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.4558786816188837---epochN:200, minibatchSize:16, eta:[1, 10.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.06972848038835955---epochN:200, minibatchSize:16, eta:[1, 10.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.08633901408935452---epochN:200, minibatchSize:16, eta:[1, 10.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-1.1999774535561283---epochN:200, minibatchSize:16, eta:[1, 10.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.6205618622053244---epochN:200, minibatchSize:16, eta:[1, 10.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.07870790463211907---epochN:200, minibatchSize:16, eta:[1, 10.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.051158172942244784---epochN:200, minibatchSize:16, eta:[1, 10.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-1.34935113855362---epochN:200, minibatchSize:16, eta:[1, 10.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-2.970543027069894e-05---epochN:200, minibatchSize:16, eta:[1, 0.1], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.6502251845942126---epochN:200, minibatchSize:16, eta:[1, 0.1], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.42871603656752055---epochN:200, minibatchSize:16, eta:[1, 0.1], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.6919720906202538---epochN:200, minibatchSize:16, eta:[1, 0.1], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-8.10006530116425e-05---epochN:200, minibatchSize:16, eta:[1, 0.1], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.7576746864859475---epochN:200, minibatchSize:16, eta:[1, 0.1], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.5356568969161676---epochN:200, minibatchSize:16, eta:[1, 0.1], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.9755825328949637---epochN:200, minibatchSize:16, eta:[1, 0.1], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-9.868430770745142e+30---epochN:200, minibatchSize:16, eta:[10, 10.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.28249724411983745---epochN:200, minibatchSize:16, eta:[10, 10.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.5095342815266306---epochN:200, minibatchSize:16, eta:[10, 10.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.026294540576966563---epochN:200, minibatchSize:16, eta:[10, 10.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-2.205597271368275e+25---epochN:200, minibatchSize:16, eta:[10, 10.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.5656588369519298---epochN:200, minibatchSize:16, eta:[10, 10.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.7173742755634706---epochN:200, minibatchSize:16, eta:[10, 10.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.020123682515908792---epochN:200, minibatchSize:16, eta:[10, 10.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-5.046727141431463e+45---epochN:200, minibatchSize:16, eta:[10, 0.1], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[10, 0.1], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.012617237757506672---epochN:200, minibatchSize:16, eta:[10, 0.1], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.02392653835804137---epochN:200, minibatchSize:16, eta:[10, 0.1], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-4.718578996894861e+40---epochN:200, minibatchSize:16, eta:[10, 0.1], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[10, 0.1], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.03424588686129604---epochN:200, minibatchSize:16, eta:[10, 0.1], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.012384331717052333---epochN:200, minibatchSize:16, eta:[10, 0.1], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 10.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 10.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 10.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 10.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 10.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 10.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 10.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 10.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.4430397366360457---epochN:200, minibatchSize:16, eta:[None, 0.1], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.25419063811838016---epochN:200, minibatchSize:16, eta:[None, 0.1], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.5160998825666775---epochN:200, minibatchSize:16, eta:[None, 0.1], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.010396258469046904---epochN:200, minibatchSize:16, eta:[None, 0.1], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 0.1], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.8578022277682831---epochN:200, minibatchSize:16, eta:[None, 0.1], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.7601723127228825---epochN:200, minibatchSize:16, eta:[None, 0.1], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.08898344309881456---epochN:200, minibatchSize:16, eta:[None, 0.1], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.34055613079038083---epochN:200, minibatchSize:16, eta:[1, 100.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.17338241652101272---epochN:200, minibatchSize:16, eta:[1, 100.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.36431315268485465---epochN:200, minibatchSize:16, eta:[1, 100.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.8704528322645118---epochN:200, minibatchSize:16, eta:[1, 100.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.2147739919210493---epochN:200, minibatchSize:16, eta:[1, 100.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.18781166468937327---epochN:200, minibatchSize:16, eta:[1, 100.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.03218422258304776---epochN:200, minibatchSize:16, eta:[1, 100.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-1.155376686953867---epochN:200, minibatchSize:16, eta:[1, 100.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.05673143255544266---epochN:200, minibatchSize:16, eta:[1, 0.01], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-1.3651576625695427---epochN:200, minibatchSize:16, eta:[1, 0.01], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.12229723215223487---epochN:200, minibatchSize:16, eta:[1, 0.01], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.8883492114322116---epochN:200, minibatchSize:16, eta:[1, 0.01], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.0007099339766760693---epochN:200, minibatchSize:16, eta:[1, 0.01], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[1, 0.01], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.14116522751176497---epochN:200, minibatchSize:16, eta:[1, 0.01], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.7492360420926041---epochN:200, minibatchSize:16, eta:[1, 0.01], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.6481873410794485---epochN:200, minibatchSize:16, eta:[10, 100.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.22410943686774298---epochN:200, minibatchSize:16, eta:[10, 100.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.4738157355257261---epochN:200, minibatchSize:16, eta:[10, 100.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.4498879394189268---epochN:200, minibatchSize:16, eta:[10, 100.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.6973774986192913---epochN:200, minibatchSize:16, eta:[10, 100.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.3597566357991431---epochN:200, minibatchSize:16, eta:[10, 100.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.534904980081655---epochN:200, minibatchSize:16, eta:[10, 100.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.05580306172005778---epochN:200, minibatchSize:16, eta:[10, 100.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-1.7929700945968354e+47---epochN:200, minibatchSize:16, eta:[10, 0.01], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[10, 0.01], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-1.3786041862491176---epochN:200, minibatchSize:16, eta:[10, 0.01], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.017276815470873452---epochN:200, minibatchSize:16, eta:[10, 0.01], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-3.300215057265127e+39---epochN:200, minibatchSize:16, eta:[10, 0.01], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[10, 0.01], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.20304025304903384---epochN:200, minibatchSize:16, eta:[10, 0.01], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.20596773982785266---epochN:200, minibatchSize:16, eta:[10, 0.01], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 100.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 100.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 100.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 100.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 100.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 100.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 100.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
nan---epochN:200, minibatchSize:16, eta:[None, 100.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.6830094966347489---epochN:200, minibatchSize:16, eta:[None, 0.01], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.02470632628425906---epochN:200, minibatchSize:16, eta:[None, 0.01], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.39707596390020417---epochN:200, minibatchSize:16, eta:[None, 0.01], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.22667228376265425---epochN:200, minibatchSize:16, eta:[None, 0.01], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.7132290549932112---epochN:200, minibatchSize:16, eta:[None, 0.01], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.6149374371275634---epochN:200, minibatchSize:16, eta:[None, 0.01], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.6561646171229295---epochN:200, minibatchSize:16, eta:[None, 0.01], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.01771372887368705---epochN:200, minibatchSize:16, eta:[None, 0.01], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.2594513816004531---epochN:200, minibatchSize:16, eta:[1, 1000.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.3893772043830326---epochN:200, minibatchSize:16, eta:[1, 1000.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.2762208895136131---epochN:200, minibatchSize:16, eta:[1, 1000.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-1.4761841545698138---epochN:200, minibatchSize:16, eta:[1, 1000.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.33697136114424686---epochN:200, minibatchSize:16, eta:[1, 1000.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.144625589013764---epochN:200, minibatchSize:16, eta:[1, 1000.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.9161970861123854---epochN:200, minibatchSize:16, eta:[1, 1000.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-2.119960431078418---epochN:200, minibatchSize:16, eta:[1, 1000.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.013546170739764829---epochN:200, minibatchSize:16, eta:[1, 0.001], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
